Wavenumber (cm^-1)	Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF (V)
770	4.38374285515556e-5
770.995412844037	3.44538036723465e-5
771.990825688073	2.69161871535209e-5
772.98623853211	6.74079137664368e-5
773.981651376147	6.55348025100607e-5
774.977064220183	4.87310069946605e-5
775.97247706422	6.7883720162751e-5
776.967889908257	6.75795654410565e-5
777.963302752293	7.16118740781749e-5
778.95871559633	1.01039596260342e-4
779.954128440367	1.01331705250484e-4
780.949541284403	9.50528676788693e-5
781.94495412844	9.72963851804774e-5
782.940366972476	1.09971506206341e-4
783.935779816513	1.20002589156484e-4
784.93119266055	1.2214070650701e-4
785.926605504586	1.35836703281927e-4
786.922018348623	1.51953892098849e-4
787.91743119266	1.51800309021558e-4
788.912844036696	1.46373706957265e-4
789.908256880733	1.62638455985702e-4
790.90366972477	1.64532647272295e-4
791.899082568806	1.49719408895905e-4
792.894495412843	1.44645144479516e-4
793.88990825688	1.57130545233432e-4
794.885321100916	1.64737424708683e-4
795.880733944953	1.45497379986839e-4
796.87614678899	1.2763356009484e-4
797.871559633026	1.31424954100913e-4
798.866972477063	1.42805158984909e-4
799.8623853211	1.23965634837177e-4
800.857798165136	1.24860030404932e-4
801.853211009173	1.18054192077906e-4
802.848623853209	1.40802556114346e-4
803.844036697246	1.45925003456944e-4
804.839449541283	1.29169390867753e-4
805.83486238532	1.28693584471438e-4
806.830275229356	1.35565674322002e-4
807.825688073393	1.53817969056561e-4
808.821100917429	1.41609620128347e-4
809.816513761466	1.58678421737897e-4
810.811926605503	1.56275298293222e-4
811.807339449539	1.60762333296438e-4
812.802752293576	1.69507534403377e-4
813.798165137613	1.831011424601e-4
814.793577981649	1.95685920499322e-4
815.788990825686	2.15166879852212e-4
816.784403669723	2.10598536161018e-4
817.779816513759	2.24165041321749e-4
818.775229357796	2.40101544165386e-4
819.770642201832	2.48608842074169e-4
820.766055045869	2.33684180680921e-4
821.761467889906	2.6677982812075e-4
822.756880733943	2.81087145771945e-4
823.752293577979	2.76244761687937e-4
824.747706422016	2.87899006964747e-4
825.743119266052	2.99417737761594e-4
826.738532110089	2.94478987825168e-4
827.733944954126	3.18736079738528e-4
828.729357798162	3.25186568984762e-4
829.724770642199	3.19235977597946e-4
830.720183486236	3.42240313429871e-4
831.715596330272	3.44556105320793e-4
832.711009174309	3.44896397237144e-4
833.706422018346	3.54539005344727e-4
834.701834862382	3.79015931858916e-4
835.697247706419	3.76049670464172e-4
836.692660550456	3.73152672025854e-4
837.688073394492	3.77163900632756e-4
838.683486238529	4.04549871316815e-4
839.678899082566	4.13376381111732e-4
840.674311926602	3.96834580257593e-4
841.669724770639	4.05658078619623e-4
842.665137614675	4.34332942579773e-4
843.660550458712	4.14535782773637e-4
844.655963302749	4.36844477608419e-4
845.651376146786	4.51844424823869e-4
846.646788990822	4.6141174710925e-4
847.642201834859	4.62354325603214e-4
848.637614678895	4.66660674633146e-4
849.633027522932	4.95320481428856e-4
850.628440366969	4.79859784981533e-4
851.623853211005	4.93200432675659e-4
852.619266055042	5.21565119048339e-4
853.614678899079	5.28584769110417e-4
854.610091743115	5.11064252567658e-4
855.605504587152	5.24188077093843e-4
856.600917431189	5.75090327200798e-4
857.596330275225	5.57229518741687e-4
858.591743119262	5.57922148305942e-4
859.587155963299	5.79146727301021e-4
860.582568807335	5.96083025863496e-4
