#cm^-1	mean 221006CaF2
770	8.09E-05
771	8.48E-05
772	8.08E-05
773	8.26E-05
774	8.57E-05
775	7.92E-05
776	8.36E-05
777	8.41E-05
778	9.01E-05
779	8.49E-05
780	7.96E-05
781	8.61E-05
782	8.58E-05
783	7.91E-05
784	8.60E-05
785	8.94E-05
786	8.12E-05
787	8.21E-05
788	8.18E-05
789	8.26E-05
790	8.05E-05
791	8.46E-05
792	8.78E-05
793	8.88E-05
794	7.96E-05
795	7.73E-05
796	8.22E-05
797	8.36E-05
798	8.20E-05
799	7.75E-05
800	8.57E-05
801	8.31E-05
802	8.61E-05
803	8.49E-05
804	8.28E-05
805	8.32E-05
806	7.86E-05
807	8.35E-05
808	8.55E-05
809	7.81E-05
810	8.53E-05
811	7.96E-05
812	8.32E-05
813	8.17E-05
814	8.51E-05
815	8.40E-05
816	8.09E-05
817	8.14E-05
818	8.04E-05
819	8.34E-05
820	8.25E-05
821	7.98E-05
822	8.15E-05
823	8.59E-05
824	8.27E-05
825	8.67E-05
826	7.91E-05
827	8.09E-05
828	7.98E-05
829	8.03E-05
830	7.90E-05
831	8.91E-05
832	8.60E-05
833	8.26E-05
834	7.83E-05
835	7.70E-05
836	8.47E-05
837	7.89E-05
838	8.27E-05
839	8.01E-05
840	8.24E-05
841	7.73E-05
842	8.17E-05
843	7.93E-05
844	7.70E-05
845	7.68E-05
846	7.76E-05
847	7.98E-05
848	8.19E-05
849	8.11E-05
850	7.56E-05
851	8.26E-05
852	8.13E-05
853	8.15E-05
854	8.26E-05
855	7.86E-05
856	8.23E-05
857	8.58E-05
858	8.49E-05
859	8.22E-05
860	8.07E-05
861	8.45E-05
862	8.37E-05
863	8.05E-05
864	8.53E-05
865	7.83E-05
866	8.19E-05
867	8.30E-05
868	8.22E-05
869	8.12E-05
870	8.41E-05
871	8.08E-05
872	8.38E-05
873	8.11E-05
874	8.49E-05
875	8.55E-05
876	8.75E-05
877	8.75E-05
878	8.07E-05
879	8.05E-05
880	7.71E-05
881	8.29E-05
882	8.01E-05
883	7.37E-05
884	7.86E-05
885	7.68E-05
886	7.57E-05
887	8.26E-05
888	8.36E-05
889	8.30E-05
890	8.46E-05
891	8.28E-05
892	8.22E-05
893	8.15E-05
894	8.24E-05
895	7.73E-05
896	7.52E-05
897	8.49E-05
898	8.15E-05
899	8.12E-05
900	8.03E-05
901	7.89E-05
902	8.37E-05
903	7.99E-05
904	8.35E-05
905	7.66E-05
906	8.72E-05
907	7.95E-05
908	7.97E-05
909	7.74E-05
910	8.35E-05
911	8.22E-05
912	8.64E-05
913	8.19E-05
914	8.07E-05
915	8.23E-05
916	8.33E-05
917	8.59E-05
918	8.20E-05
919	8.56E-05
920	7.60E-05
921	8.18E-05
922	8.25E-05
923	8.02E-05
924	8.15E-05
925	8.44E-05
926	8.07E-05
927	8.12E-05
928	8.35E-05
929	7.94E-05
930	8.07E-05
931	7.92E-05
932	8.36E-05
933	8.49E-05
934	8.54E-05
935	8.78E-05
936	7.83E-05
937	8.29E-05
938	7.87E-05
939	8.45E-05
940	8.07E-05
941	8.26E-05
942	8.13E-05
943	8.69E-05
944	8.34E-05
945	8.36E-05
946	8.35E-05
947	8.38E-05
948	8.22E-05
949	8.63E-05
950	7.57E-05
951	7.83E-05
952	8.05E-05
953	8.40E-05
954	8.06E-05
955	8.31E-05
956	8.40E-05
957	8.35E-05
958	8.02E-05
959	8.40E-05
960	8.64E-05
961	8.34E-05
962	8.45E-05
963	8.09E-05
964	8.89E-05
965	8.69E-05
966	8.60E-05
967	8.03E-05
968	8.40E-05
969	7.88E-05
970	8.46E-05
971	8.47E-05
972	8.05E-05
973	8.77E-05
974	8.47E-05
975	8.17E-05
976	8.58E-05
977	8.33E-05
978	8.25E-05
979	8.70E-05
980	8.28E-05
981	8.71E-05
982	8.31E-05
983	8.60E-05
984	8.31E-05
985	8.54E-05
986	8.37E-05
987	8.12E-05
988	8.80E-05
989	8.80E-05
990	8.78E-05
991	8.62E-05
992	8.83E-05
993	8.23E-05
994	8.89E-05
995	8.41E-05
996	8.71E-05
997	8.60E-05
998	8.69E-05
999	8.90E-05
1000	8.79E-05
1001	8.07E-05
1002	8.62E-05
1003	8.71E-05
1004	8.57E-05
1005	8.72E-05
1006	8.58E-05
1007	8.84E-05
1008	8.32E-05
1009	8.79E-05
1010	8.24E-05
1011	8.49E-05
1012	9.05E-05
1013	8.77E-05
1014	8.72E-05
1015	8.70E-05
1016	8.67E-05
1017	8.77E-05
1018	8.38E-05
1019	8.82E-05
1020	8.48E-05
1021	8.34E-05
1022	8.99E-05
1023	8.10E-05
1024	8.26E-05
1025	8.99E-05
1026	8.20E-05
1027	8.60E-05
1028	8.69E-05
1029	8.46E-05
1030	9.05E-05
1031	9.09E-05
1032	8.58E-05
1033	8.57E-05
1034	8.76E-05
1035	8.62E-05
1036	8.68E-05
1037	8.39E-05
1038	9.22E-05
1039	8.68E-05
1040	8.61E-05
1041	8.62E-05
1042	8.99E-05
1043	8.81E-05
1044	9.28E-05
1045	8.95E-05
1046	8.21E-05
1047	9.29E-05
1048	8.73E-05
1049	8.75E-05
1050	8.74E-05
1051	8.47E-05
1052	8.84E-05
1053	8.42E-05
1054	8.17E-05
1055	8.35E-05
1056	8.49E-05
1057	8.53E-05
1058	8.29E-05
1059	8.41E-05
1060	8.55E-05
1061	8.42E-05
1062	8.24E-05
