Wavenumber (cm^-1)	Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF (V)
770	5.0480649502626e-5
770.995412844037	6.34599252501842e-5
771.990825688073	6.04545152278958e-5
772.98623853211	7.90440904459182e-5
773.981651376147	9.42969980239651e-5
774.977064220183	9.93441595443613e-5
775.97247706422	1.09022904846601e-4
776.967889908257	1.20213389458649e-4
777.963302752293	1.36920819121631e-4
778.95871559633	1.59199399627532e-4
779.954128440367	1.60632841682251e-4
780.949541284403	1.7403070660125e-4
781.94495412844	1.78195518285443e-4
782.940366972476	2.13989409592978e-4
783.935779816513	2.39475166124669e-4
784.93119266055	2.49861598155603e-4
785.926605504586	2.50852359575777e-4
786.922018348623	2.50274164461268e-4
787.91743119266	2.4688027959642e-4
788.912844036696	2.58263495913303e-4
789.908256880733	2.69456991958239e-4
790.90366972477	2.45052339833364e-4
791.899082568806	2.64283350256544e-4
792.894495412843	2.3618969284379e-4
793.88990825688	2.48903962497199e-4
794.885321100916	2.06072352530257e-4
795.880733944953	2.01205876983145e-4
796.87614678899	1.79348897081572e-4
797.871559633026	1.86507073056502e-4
798.866972477063	1.35020604969262e-4
799.8623853211	1.31458079862682e-4
800.857798165136	1.22667707262421e-4
801.853211009173	1.27025250651451e-4
802.848623853209	1.35707211667741e-4
803.844036697246	1.37896523377364e-4
804.839449541283	1.44491561402225e-4
805.83486238532	1.32153720859824e-4
806.830275229356	1.29419339797462e-4
807.825688073393	1.43558017206925e-4
808.821100917429	1.4837329839494e-4
809.816513761466	1.53188579582955e-4
810.811926605503	1.52227932491663e-4
811.807339449539	1.40164132342076e-4
812.802752293576	1.76298315565963e-4
813.798165137613	1.70745233320372e-4
814.793577981649	1.7270868756339e-4
815.788990825686	1.89395037196155e-4
816.784403669723	1.8921736265576e-4
817.779816513759	2.01714809141227e-4
818.775229357796	2.21632426262886e-4
819.770642201832	2.13420248777134e-4
820.766055045869	2.43227411503197e-4
821.761467889906	2.39866652400117e-4
822.756880733943	2.29492266100735e-4
823.752293577979	2.60404624696717e-4
824.747706422016	2.80743842422705e-4
825.743119266052	2.67987412708864e-4
826.738532110089	2.65307237438486e-4
827.733944954126	3.01938307088904e-4
828.729357798162	3.02266553273703e-4
829.724770642199	2.86607102255767e-4
830.720183486236	3.10770839749597e-4
831.715596330272	3.20353219199418e-4
832.711009174309	3.22307639143772e-4
833.706422018346	3.33847449970835e-4
834.701834862382	3.35404360773965e-4
835.697247706419	3.40439476562809e-4
836.692660550456	3.62859594414449e-4
837.688073394492	3.57442026648821e-4
838.683486238529	3.55845967218147e-4
839.678899082566	3.76257459333448e-4
840.674311926602	3.97349535281453e-4
841.669724770639	3.80949271773053e-4
842.665137614675	3.96912877512683e-4
843.660550458712	3.89281906574328e-4
844.655963302749	4.04191510803135e-4
845.651376146786	4.12954780507403e-4
846.646788990822	4.37844273327256e-4
847.642201834859	4.4947743857385e-4
848.637614678895	4.6816337964429e-4
849.633027522932	4.55385869900233e-4
850.628440366969	4.78591971735658e-4
851.623853211005	4.67362338496065e-4
852.619266055042	4.80654803263982e-4
853.614678899079	4.86328342825096e-4
854.610091743115	4.8700591522491e-4
855.605504587152	5.1994496815456e-4
856.600917431189	5.2181205654516e-4
857.596330275225	5.68091757168936e-4
858.591743119262	5.73930925538893e-4
859.587155963299	5.72148157269159e-4
860.582568807335	5.90933475624906e-4
861.577981651372	5.88596603703768e-4
862.573394495409	5.96619060917572e-4
863.568807339445	6.04638506698488e-4
864.564220183482	5.88825472603261e-4
865.559633027518	6.23152796094308e-4
866.555045871555	5.91201493151944e-4
867.550458715592	5.79667705190656e-4
868.545871559628	5.91900145581974e-4
869.541284403665	5.72087928611398e-4
870.536697247702	5.67122075778979e-4
871.532110091738	5.89403667717769e-4
872.527522935775	5.8991561130874e-4
873.522935779812	6.09041221580838e-4
874.518348623848	6.09827205564623e-4
875.513761467885	6.08896672802211e-4
876.509174311922	6.21171273253962e-4
877.504587155958	6.20487677988371e-4
878.499999999995	6.50150291935807e-4
879.495412844032	6.66908915957886e-4
880.490825688068	6.76924941743589e-4
881.486238532105	6.87356545267844e-4
882.481651376142	6.98486801222131e-4
883.477064220178	7.05858788932113e-4
884.472477064215	7.01501245543084e-4
885.467889908252	7.21042433553734e-4
886.463302752288	7.18859144709888e-4
887.458715596325	7.12628490064482e-4
888.454128440361	7.20774416026697e-4
889.449541284398	7.39243533929197e-4
890.444954128435	7.3771372602206e-4
891.440366972471	7.40728170343012e-4
892.435779816508	7.41496085729469e-4
893.431192660545	7.47109396632821e-4
894.426605504581	7.5014492098399e-4
895.422018348618	7.55562488749618e-4
896.417431192655	7.3844550421386e-4
897.412844036691	7.440618265501e-4
898.408256880728	7.54457292879699e-4
899.403669724765	7.49970257876482e-4
900.399082568801	7.46787173313798e-4
901.394495412838	7.38463572811188e-4
902.389908256875	7.25996240654601e-4
903.385321100911	7.44883947728542e-4
904.380733944948	7.48973473590533e-4
905.376146788985	7.45537428665252e-4
906.371559633021	7.42074280843977e-4
907.366972477058	7.49404108493526e-4
908.362385321094	7.35575608671534e-4
909.357798165131	7.29868943348652e-4
910.353211009168	7.54954179306229e-4
911.348623853204	7.39779568983272e-4
912.344036697241	7.57700606100144e-4
913.339449541278	7.45615725920341e-4
914.334862385314	7.37358376941268e-4
915.330275229351	7.35524414312437e-4
916.325688073388	7.56779107636396e-4
917.321100917424	7.31778191799685e-4
918.316513761461	7.20262472435726e-4
919.311926605498	6.94758647306707e-4
920.307339449534	6.84778758715661e-4
921.302752293571	6.50981447412913e-4
922.298165137608	6.65565816889809e-4
923.293577981644	6.11802705539193e-4
924.288990825681	5.81941337021145e-4
925.284403669718	5.61662347952918e-4
926.279816513754	5.90030045758486e-4
927.275229357791	5.94610435181233e-4
928.270642201827	6.26600886751142e-4
929.266055045864	6.40477569499344e-4
930.261467889901	6.52198066299691e-4
931.256880733937	6.75726391454139e-4
932.252293577974	7.0609669213027e-4
933.247706422011	6.7222409500532e-4
934.243119266047	7.14155286538731e-4
935.238532110084	7.1242973549387e-4
936.233944954121	7.40110826600959e-4
937.229357798157	7.72977605141296e-4
938.224770642194	7.99929929489473e-4
939.220183486231	8.10680744899864e-4
940.215596330267	8.31721626488771e-4
941.211009174304	8.42782619486632e-4
942.20642201834	8.30980813998307e-4
943.201834862377	8.46324064562996e-4
944.197247706414	8.44146798584925e-4
945.192660550451	8.56234690197616e-4
946.188073394487	8.71704420943604e-4
947.183486238524	8.69846366851668e-4
948.17889908256	8.65802012482997e-4
949.174311926597	8.78585545092831e-4
950.169724770634	8.676179065145e-4
951.16513761467	8.64208964485211e-4
952.160550458707	8.77877858364136e-4
953.155963302744	8.97268474730384e-4
954.15137614678	8.5960448359936e-4
955.146788990817	8.62432219081253e-4
956.142201834854	8.69084474330988e-4
957.13761467889	8.5531018030098e-4
958.133027522927	8.6564240653993e-4
959.128440366964	8.71963404171977e-4
960.123853211	8.49067479924022e-4
961.119266055037	8.44514193397269e-4
962.114678899074	8.61212588761587e-4
963.11009174311	8.70644396567005e-4
964.105504587147	8.59986935576145e-4
965.100917431183	8.94398579188058e-4
966.09633027522	8.61959424117827e-4
967.091743119257	8.92444159243704e-4
968.087155963293	8.77998315679659e-4
969.08256880733	8.62028687074252e-4
970.077981651367	8.63573552145829e-4
971.073394495403	8.63296500320128e-4
972.06880733944	8.81973407091904e-4
973.064220183477	8.70921448392707e-4
974.059633027513	8.85042057204841e-4
975.05504587155	8.73186045924532e-4
976.050458715587	8.4818513008782e-4
977.045871559623	8.46751688033101e-4
978.04128440366	8.40033181259829e-4
979.036697247697	8.2615348707874e-4
980.032110091733	8.34127761366334e-4
981.02752293577	8.41249800146607e-4
982.022935779807	8.08096935481904e-4
983.018348623843	8.38123932808796e-4
984.01376146788	8.44095604225828e-4
985.009174311917	8.48898839682291e-4
986.004587155953	8.32679262147175e-4
986.99999999999	8.30514041900657e-4
989	7.71917580764697e-4
989.997229916898	7.95445905919145e-4
990.994459833795	7.95963872375892e-4
991.991689750692	7.93642057619194e-4
992.98891966759	8.15327385846147e-4
993.986149584488	8.25551200501127e-4
994.983379501385	8.22720453586346e-4
995.980609418282	8.25536143336686e-4
996.97783933518	8.38699116490416e-4
997.975069252077	8.5856252782009e-4
998.972299168975	8.36838050965593e-4
999.969529085872	8.66377196164617e-4
1000.96675900277	8.80976622805954e-4
1001.96398891967	8.86674253830173e-4
1002.96121883656	8.85114331594155e-4
1003.95844875346	8.83575489388354e-4
1004.95567867036	8.89733869644446e-4
1005.95290858726	9.08443902177991e-4
1006.95013850415	9.03113665966117e-4
1007.94736842105	9.08224067577162e-4
1008.94459833795	9.17014440177423e-4
1009.94182825485	9.17707069741678e-4
1010.93905817174	8.85156491654588e-4
1011.93628808864	9.09967687219352e-4
1012.93351800554	9.155569066596e-4
1013.93074792244	8.9644936498483e-4
1014.92797783933	8.8311474015648e-4
1015.92520775623	9.17342686362222e-4
1016.92243767313	9.28644593991128e-4
1017.91966759003	9.10341104897472e-4
1018.91689750692	8.9568747246415e-4
1019.91412742382	8.79413689137049e-4
1020.91135734072	8.90122344487006e-4
1021.90858725762	8.95768781152128e-4
1022.90581717451	8.86237596061403e-4
1023.90304709141	8.9400709291261e-4
1024.90027700831	9.37203086259007e-4
1025.89750692521	8.92037615803815e-4
1026.8947368421	9.26145104694035e-4
1027.891966759	9.2780139278247e-4
1028.8891966759	9.31318746395729e-4
1029.8864265928	9.32237233426589e-4
1030.8836565097	9.4393665019672e-4
1031.88088642659	9.44096256139787e-4
1032.87811634349	9.23748004115135e-4
1033.87534626039	9.4354817535416e-4
1034.87257617729	9.55879993030784e-4
1035.86980609418	9.67025306149511e-4
1036.86703601108	9.55346969409596e-4
1037.86426592798	9.64296947952924e-4
1038.86149584488	9.72722937173729e-4
1039.85872576177	9.55515609651328e-4
1040.85595567867	9.63203797814557e-4
1041.85318559557	9.58924551680617e-4
1042.85041551247	9.55124123375879e-4
1043.84764542936	9.59069100459244e-4
1044.84487534626	9.48836251505601e-4
1045.84210526316	9.25298892052488e-4
1046.83933518006	9.56214262081359e-4
1047.83656509695	9.27575535315865e-4
1048.83379501385	9.25407303636459e-4
1049.83102493075	9.40106107563102e-4
1050.82825484765	9.19510918041628e-4
1051.82548476454	9.05218657554874e-4
1052.82271468144	8.89529092208058e-4
1053.81994459834	9.00029958688739e-4
1054.81717451524	8.79844324040042e-4
1055.81440443214	9.01445332146129e-4
1056.81163434903	8.91685278155912e-4
1057.80886426593	8.87671038116122e-4
1058.80609418283	8.92826611220488e-4
1059.80332409973	8.74426756274414e-4
1060.80055401662	8.6340190047121e-4
1061.79778393352	8.56047981358556e-4
1062.79501385042	8.62923082642008e-4
1063.79224376732	8.48212232983812e-4
1064.78947368421	8.34296401608066e-4
1065.78670360111	8.25951721075239e-4
1066.78393351801	8.13351885871577e-4
1067.78116343491	8.27547780505913e-4
1068.7783933518	8.10584379047446e-4
1069.7756232687	7.97231685621768e-4
1070.7728531856	8.12999548223674e-4
1071.7700831025	8.07160379853716e-4
1072.76731301939	7.963403014869e-4
1073.76454293629	7.71514048757696e-4
1074.76177285319	7.52879302046353e-4
1075.75900277009	7.70008332313664e-4
1076.75623268698	7.49530588674825e-4
1077.75346260388	7.44091940878981e-4
1078.75069252078	7.31790237531237e-4
1079.74792243768	7.26276303913191e-4
1080.74515235457	7.23177539471372e-4
1081.74238227147	7.14465464126202e-4
1082.73961218837	6.95535596991828e-4
1083.73684210527	7.16094649318644e-4
1084.73407202217	7.38207601015702e-4
1085.73130193906	7.30968116352795e-4
1086.72853185596	7.30040595023271e-4
1087.72576177286	7.56158752461455e-4
1088.72299168976	7.27041207866759e-4
1089.72022160665	7.43799831888838e-4
1090.71745152355	7.53285845486242e-4
1091.71468144045	7.37948617787329e-4
1092.71191135735	7.5190359779062e-4
1093.70914127424	7.37469799958127e-4
1094.70637119114	7.23608174374365e-4
1095.70360110804	6.90524572666088e-4
1096.70083102494	6.75590876974176e-4
1097.69806094183	6.66773401477923e-4
1098.69529085873	6.66740275716155e-4
1099.69252077563	6.57949903115894e-4
1100.68975069253	6.47698985564922e-4
1101.68698060942	6.36878907198106e-4
1102.68421052632	6.1232067199594e-4
1103.68144044322	6.07758351170522e-4
1104.67867036012	5.82299697534825e-4
1105.67590027701	5.67362990410025e-4
1106.67313019391	5.72581803605041e-4
1107.67036011081	5.58900863994563e-4
1108.66759002771	5.39416893208786e-4
1109.6648199446	5.39859573843331e-4
1110.6620498615	5.10802257906396e-4
1111.6592797784	5.05523216053619e-4
1112.6565096953	4.91089418221126e-4
1113.6537396122	4.83973402306629e-4
1114.65096952909	4.74116982463994e-4
1115.64819944599	4.59132092412985e-4
1116.64542936289	4.4983579908753e-4
1117.64265927979	4.335439471631e-4
1118.63988919668	4.05703250112944e-4
1119.63711911358	4.18104330745994e-4
1120.63434903048	4.1614991080164e-4
1121.63157894738	3.94919308940785e-4
1122.62880886427	4.02851423167946e-4
1123.62603878117	3.75420280990567e-4
1124.62326869807	3.70023793255155e-4
1125.62049861497	3.7185173301821e-4
1126.61772853186	3.70475508188365e-4
1127.61495844876	3.42207187668103e-4
1128.61218836566	3.49016037428017e-4
1129.60941828256	3.43676766917478e-4
1130.60664819945	3.39635423981696e-4
1131.60387811635	3.22873788526728e-4
1132.60110803325	3.17167123203846e-4
1133.59833795015	2.86676365212193e-4
1134.59556786704	2.90455713486713e-4
1135.59279778394	2.92229447457783e-4
1136.59002770084	3.0166426669609e-4
1137.58725761774	2.93452089210338e-4
1138.58448753464	2.89281254660368e-4
1139.58171745153	2.83149977300269e-4
1140.57894736843	2.88471179213479e-4
1141.57617728533	2.50587353481627e-4
1142.57340720223	2.46558056277397e-4
1143.57063711912	2.58745325175394e-4
1144.56786703602	2.49054534141602e-4
1145.56509695292	2.38454290375615e-4
1146.56232686982	2.39261354389616e-4
1147.55955678671	2.35638600625275e-4
1148.55678670361	2.31564131927723e-4
1149.55401662051	2.25700872094662e-4
1150.55124653741	2.25691837795997e-4
1151.5484764543	2.3466590780243e-4
1152.5457063712	2.37312957311038e-4
1153.5429362881	2.10095626868711e-4
1154.540166205	2.14124924072941e-4
1155.53739612189	2.18377067310889e-4
1156.53462603879	2.28393093096591e-4
1157.53185595569	2.19226291385323e-4
1158.52908587259	2.15594503322317e-4
1159.52631578948	2.04952099495897e-4
1160.52354570638	2.24219247113734e-4
1161.52077562328	2.33355934496122e-4
1162.51800554018	2.31850218052089e-4
1163.51523545708	2.46576124874725e-4
1164.51246537397	2.31844195186313e-4
1165.50969529087	2.24068675469331e-4
1166.50692520777	2.51403451794292e-4
1167.50415512467	2.49370734594849e-4
1168.50138504156	2.44802390903655e-4
1169.49861495846	2.55896509663285e-4
1170.49584487536	2.4960261492723e-4
1171.49307479226	2.43131045650779e-4
1172.49030470915	2.54529319132103e-4
1173.48753462605	2.63687086544708e-4
1174.48476454295	2.4635026740812e-4
1175.48199445985	2.57703369396123e-4
1176.47922437674	2.65069334240329e-4
1177.47645429364	2.68610779316693e-4
1178.47368421054	2.75642475110324e-4
1179.47091412744	2.92428202028396e-4
1180.46814404433	2.86134307292341e-4
1181.46537396123	2.86176467352774e-4
1182.46260387813	2.78256398857164e-4
1183.45983379503	2.80852254006676e-4
1184.45706371192	2.95993738567864e-4
1185.45429362882	2.7975609243542e-4
1186.45152354572	2.8087634546978e-4
1187.44875346262	2.85601283671153e-4
1188.44598337952	3.07274566166554e-4
1189.44321329641	2.86200558815878e-4
1190.44044321331	3.0662710809562e-4
1191.43767313021	3.02510479337636e-4
1192.43490304711	3.11246646145911e-4
1193.432132964	2.98436010640084e-4
1194.4293628809	2.95840155490573e-4
1195.4265927978	2.88182081656225e-4
1196.4238227147	2.95918452745663e-4
1197.42105263159	2.85787992510213e-4
1198.41828254849	2.87817698276769e-4
1199.41551246539	2.68267475967454e-4
1200.41274238229	2.71944435523781e-4
1201.40997229918	2.77389106185401e-4
1202.40720221608	2.70631450784585e-4
1203.40443213298	2.62886045396483e-4
1204.40166204988	2.69809329606143e-4
1205.39889196677	2.52276767331831e-4
1206.39612188367	2.68369864685648e-4
1207.39335180057	2.53065762748504e-4
1208.39058171747	2.27411365975082e-4
1209.38781163436	2.38478381838719e-4
1210.38504155126	2.4291121104995e-4
1211.38227146816	2.43058771261466e-4
1212.37950138506	2.3085343376614e-4
1213.37673130195	1.97101293956713e-4
1214.37396121885	2.23035753988724e-4
1215.37119113575	2.08632070485112e-4
1216.36842105265	2.08192401283454e-4
1217.36565096955	2.11197811305743e-4
1218.36288088644	2.18362010146448e-4
1219.36011080334	2.13814746485471e-4
1220.35734072024	2.03069953940857e-4
1221.35457063714	2.03605988994932e-4
1222.35180055403	1.87639371822414e-4
1223.34903047093	2.17910295213239e-4
1224.34626038783	2.08574853260238e-4
1225.34349030473	2.09415043036009e-4
1226.34072022162	1.96998905238518e-4
1227.33795013852	2.13935203800993e-4
1228.33518005542	2.18633039106374e-4
1229.33240997232	1.8576324913315e-4
1230.32963988921	2.06764982094512e-4
1231.32686980611	2.00100681113225e-4
1232.32409972301	2.12691482018223e-4
1233.32132963991	1.96941688013645e-4
1234.3185595568	1.85501254471888e-4
1235.3157894737	1.99016565273522e-4
1236.3130193906	2.12965522411037e-4
1237.3102493075	2.10110684033151e-4
1238.30747922439	2.08773607830851e-4
1239.30470914129	2.16058263987079e-4
1240.30193905819	2.27128291283604e-4
1241.29916897509	2.17247779977864e-4
1242.29639889199	2.37677340690494e-4
1243.29362880888	2.46175604300612e-4
1244.29085872578	2.56013955545919e-4
1245.28808864268	2.64656767934665e-4
1246.28531855958	2.65686677982383e-4
1247.28254847647	3.20545950904254e-4
1248.27977839337	3.21991438690525e-4
1249.27700831027	3.44748837025629e-4
1250.27423822717	3.7819983354625e-4
1251.27146814406	4.28433545552055e-4
1252.26869806096	4.45083757990164e-4
1253.26592797786	4.6506762663536e-4
1254.26315789476	5.09880759442648e-4
1255.26038781165	5.35372538840115e-4
1256.25761772855	5.58798475276369e-4
1257.25484764545	5.59578436394378e-4
1258.25207756235	5.84332414734268e-4
1259.24930747924	6.21071895968656e-4
1260.24653739614	6.56109917621287e-4
1261.24376731304	6.82676778559792e-4
